,product_id,mail,score,review_text,date_added
0,514,Alfredo1594@gmail.com,5,Хороший продукт.,2013-11-21
1,2346,Lori7154@gmail.com,10,,2020-2-21
2,600,Elodia2183@gmail.com,10,,2020-2-28
3,2078,Amanda8456@hotmail.com,2,,2023-12-14
4,347,Melissa3113@gmail.com,2,,2022-9-9
5,2040,Ethel6639@gmail.com,5,Это ну такое.,2011-6-12
6,303,Ivan7715@hotmail.com,2,Это ну такое.,2011-10-13
7,2603,Bella5335@hotmail.com,2,,2018-1-20
8,3542,Luis2240@hotmail.com,4,Просто средний продукт.,2015-3-2
9,2208,Ruth4830@gmail.com,1,Плохо! Мне не понравился.,2020-9-13
10,2918,Donovan9778@hotmail.com,3,Хорошо! Это хороший продукт.,2019-6-27
11,1496,Harold3778@gmail.com,5,Отлично! Это невероятно хороший продукт.,2017-9-2
12,1696,Mary5539@hotmail.com,7,Средненько! Это средний по качеству продукт.,2017-7-20
13,390,Elijah2417@hotmail.com,2,Хороший продукт.,2015-6-3
14,1421,Mario7037@hotmail.com,9,Плохо! Мне не понравился.,2011-5-6
15,2060,Mandi2289@hotmail.com,7,,2021-10-27
16,1951,David7881@hotmail.com,10,Хорошо! Это хороший продукт.,2011-5-18
17,2891,Cheryl9797@gmail.com,10,,2023-12-13
18,483,Patrick4231@hotmail.com,4,,2016-3-25
19,562,Leah4349@hotmail.com,10,Плохо! Мне не понравился.,2023-11-21
20,2998,Leona8713@hotmail.com,4,Средненько! Это средний по качеству продукт.,2020-5-16
21,443,Grace3831@hotmail.com,4,,2014-3-25
22,208,Daniel6478@hotmail.com,2,,2023-2-1
23,342,Letitia4412@hotmail.com,6,,2010-5-18
24,2857,Elizabeth1427@gmail.com,7,,2019-8-7
25,3339,Sylvia6582@gmail.com,8,На самом деле прекрасный выбор!,2016-9-9
26,2277,Jaimie8768@gmail.com,6,,2014-5-14
27,3111,Jason4389@hotmail.com,3,,2023-6-6
28,309,Henrietta4488@hotmail.com,0,Это ну такое.,2021-12-11
29,2295,Coletta7049@hotmail.com,9,Просто средний продукт.,2012-10-15
30,1415,Ronald1298@hotmail.com,2,Хорошо! Это хороший продукт.,2012-11-5
31,3297,Flora2876@hotmail.com,5,ФУ. Не куплю от этого бренда больше ничего.,2014-9-24
32,1489,Clyde8856@hotmail.com,5,Плохо! Мне не понравился.,2021-7-1
33,1847,Donald7899@gmail.com,3,,2011-11-16
34,2918,Peggy1587@hotmail.com,1,Это ну такое.,2015-1-15
35,2235,Louise4442@hotmail.com,9,,2012-8-12
36,2142,Edith7253@hotmail.com,9,Это ну такое.,2011-9-27
37,2449,Pearl1031@hotmail.com,2,,2022-1-14
38,237,Charles3718@gmail.com,2,,2023-7-15
39,691,John4750@hotmail.com,7,Плохо! Мне не понравился.,2022-2-3
40,800,Courtney2648@gmail.com,5,,2018-9-28
41,568,Robert5315@gmail.com,4,Плохо! Мне не понравился.,2010-12-19
42,473,Maria5848@hotmail.com,4,Хороший продукт.,2010-1-28
43,1966,Beverly7446@gmail.com,2,,2016-11-4
44,295,Randy6372@hotmail.com,4,,2013-4-6
45,3403,Sarah6240@gmail.com,4,,2015-2-13
46,3410,Karen4875@gmail.com,2,,2011-8-26
47,1078,Anna8360@gmail.com,1,Хорошо! Это хороший продукт.,2011-9-3
48,1915,Diane4497@hotmail.com,4,,2021-11-27
49,351,Janet6350@hotmail.com,3,,2013-1-16
50,3337,Martha6879@gmail.com,5,Отлично! Это невероятно хороший продукт.,2020-10-24
51,2436,William4916@gmail.com,4,,2015-12-5
52,1983,Jeannette6242@hotmail.com,6,Отлично! Это невероятно хороший продукт.,2012-3-2
53,3147,Daniel2794@gmail.com,4,Хороший продукт.,2011-4-19
54,1859,Jill9666@hotmail.com,2,,2016-6-24
55,2414,Anna2079@gmail.com,9,,2020-12-21
56,3614,Katharine7121@hotmail.com,8,,2020-5-3
57,328,Ralph9599@gmail.com,10,,2010-4-6
58,3256,Dana5591@gmail.com,0,,2014-7-15
59,2763,Emily7157@gmail.com,0,,2018-2-2
60,371,Francisco1072@hotmail.com,10,,2015-10-13
61,2215,Kelly8515@gmail.com,5,,2014-7-15
62,202,Michael3824@hotmail.com,10,На самом деле прекрасный выбор!,2023-8-24
63,2589,Annie6132@hotmail.com,10,Ну неплохо.,2012-2-19
64,1587,Jim7552@hotmail.com,6,Прекрасный продукт.,2019-3-7
65,3149,Katherine4248@hotmail.com,7,,2013-1-20
66,2587,Juan6945@gmail.com,3,,2011-8-14
67,2002,James1565@hotmail.com,3,Плохо! Мне не понравился.,2022-10-8
68,2437,Willie8360@gmail.com,8,Прекрасный продукт.,2023-10-14
69,2663,Karry5913@hotmail.com,6,Это ну такое.,2015-1-22
70,2482,Michelle9457@hotmail.com,7,,2012-1-20
71,1734,Marion3452@hotmail.com,5,Отлично! Это невероятно хороший продукт.,2014-8-20
72,1641,Cynthia5258@gmail.com,7,На самом деле прекрасный выбор!,2021-3-8
73,2756,Ali9534@hotmail.com,3,Отлично! Это невероятно хороший продукт.,2012-10-20
74,3223,Dana3926@hotmail.com,0,,2023-10-1
75,745,Mary7083@gmail.com,7,Средненько! Это средний по качеству продукт.,2014-1-24
76,1235,Harold1437@gmail.com,4,,2015-5-6
77,2504,Jay3688@gmail.com,2,Прекрасный продукт.,2021-1-19
78,2582,David1982@hotmail.com,3,Это ну такое.,2011-1-4
79,2650,William2426@hotmail.com,1,,2011-6-26
80,1335,Sammie9752@gmail.com,4,Прекрасный продукт.,2016-5-13
81,795,Florence5422@hotmail.com,3,На самом деле прекрасный выбор!,2011-8-13
82,609,Theresa9717@gmail.com,0,Хорошо! Это хороший продукт.,2020-8-11
83,131,Peter4690@gmail.com,7,,2018-12-19
84,2354,Gabrielle9068@gmail.com,9,,2015-12-6
85,696,Jimmy8599@gmail.com,4,,2019-5-9
86,157,Stanley7687@hotmail.com,2,,2012-9-25
87,1104,Brenda1921@gmail.com,7,На самом деле хороший выбор!,2018-2-14
88,1366,Bobby1074@hotmail.com,6,,2019-12-12
89,158,Kim2585@hotmail.com,6,Прекрасный продукт.,2014-1-8
90,1507,Charles7568@gmail.com,3,На самом деле прекрасный выбор!,2011-7-26
91,2524,Eliseo3196@gmail.com,1,ФУ. Не куплю от этого бренда больше ничего.,2010-1-7
92,2923,Sarah5918@gmail.com,5,,2023-2-28
93,1145,Richard5278@gmail.com,9,Ну неплохо.,2017-4-21
94,1901,Margaret2954@hotmail.com,4,Просто средний продукт.,2017-1-7
95,1439,Robert2166@hotmail.com,9,,2021-4-6
96,1098,John9035@hotmail.com,7,ФУ. Не куплю от этого бренда больше ничего.,2020-11-8
97,1933,Carlton9672@gmail.com,5,ФУ. Не куплю от этого бренда больше ничего.,2017-11-15
98,2442,Tina2424@hotmail.com,10,Ну неплохо.,2022-3-10
99,2625,Michael9349@hotmail.com,2,Хорошо! Это хороший продукт.,2012-9-7
100,934,James5121@hotmail.com,7,,2015-5-11
101,827,Isaias4094@gmail.com,4,Это ну такое.,2019-9-19
102,2731,Charles4317@hotmail.com,1,,2020-11-18
103,3556,Justin6920@hotmail.com,2,Просто средний продукт.,2013-3-24
104,515,Ronald8779@gmail.com,5,Плохо! Мне не понравился.,2010-9-28
105,1901,Carrie2967@gmail.com,6,,2016-2-22
106,2338,Matthew2351@hotmail.com,1,,2011-11-20
107,1648,Thomas9411@gmail.com,1,,2010-3-26
108,1515,Mathew6116@hotmail.com,6,На самом деле хороший выбор!,2014-2-17
109,880,Edwin3899@gmail.com,2,Отлично! Это невероятно хороший продукт.,2013-7-2
110,315,Star4141@hotmail.com,8,,2021-7-27
111,2218,Linda3997@hotmail.com,0,Средненько! Это средний по качеству продукт.,2015-7-25
112,2828,Heidi3375@hotmail.com,8,,2020-8-14
113,845,Blaine7165@gmail.com,9,Просто средний продукт.,2015-1-22
114,1249,Joseph7181@gmail.com,3,,2011-8-1
115,656,Gina9649@hotmail.com,10,,2020-9-1
116,862,Lisa7241@gmail.com,6,,2019-12-15
117,3068,Charlene8153@hotmail.com,7,,2013-3-24
118,699,Jonathon8245@hotmail.com,3,Отлично! Это невероятно хороший продукт.,2019-6-21
119,1397,Sergio5381@hotmail.com,6,Плохо! Мне не понравился.,2019-8-11
120,2931,Daniel6699@hotmail.com,0,,2018-5-20
121,2784,Blanche3550@hotmail.com,0,,2017-2-18
122,1416,Charles9619@hotmail.com,5,,2022-5-4
123,865,Rocio6731@gmail.com,2,Средненько! Это средний по качеству продукт.,2015-11-27
124,767,Elise6979@hotmail.com,9,,2020-5-27
125,495,Eric6654@gmail.com,5,На самом деле прекрасный выбор!,2018-3-25
126,1111,James7160@gmail.com,3,Это ну такое.,2018-6-1
127,1180,Timothy2516@gmail.com,8,Просто средний продукт.,2016-1-4
128,2988,James9612@hotmail.com,8,,2020-9-5
129,2829,Johnathan4124@gmail.com,3,,2011-12-24
130,2556,Vivian7883@hotmail.com,0,На самом деле хороший выбор!,2015-1-5
131,1835,Jo3539@gmail.com,7,Плохо! Мне не понравился.,2019-6-5
132,1180,Julie4159@gmail.com,5,,2022-5-18
133,2308,Lisa2994@hotmail.com,6,Средненько! Это средний по качеству продукт.,2010-11-23
134,2688,Gilbert1887@gmail.com,6,,2023-9-22
135,3025,Ann8952@hotmail.com,4,,2014-12-4
136,1005,Clifford2578@gmail.com,9,,2015-7-16
137,76,Justin8169@gmail.com,2,ФУ. Не куплю от этого бренда больше ничего.,2010-6-3
138,273,Fanny4641@gmail.com,7,,2014-8-22
139,78,James4589@hotmail.com,2,На самом деле хороший выбор!,2022-11-19
140,1628,Alice4235@gmail.com,9,,2012-4-5
141,2289,Susan6484@hotmail.com,0,На самом деле хороший выбор!,2016-4-10
142,2773,Martin3977@gmail.com,7,Отлично! Это невероятно хороший продукт.,2023-12-28
143,1374,Allan4450@hotmail.com,10,ФУ. Не куплю от этого бренда больше ничего.,2023-5-8
144,22,Susie6068@hotmail.com,9,,2022-3-16
145,915,Donald5339@gmail.com,4,,2014-8-25
146,940,Shirley5487@gmail.com,10,,2016-3-6
147,3118,Lori9345@gmail.com,8,,2023-3-11
148,483,Jennifer8466@hotmail.com,9,Хороший продукт.,2018-6-18
149,2739,Jorge9388@hotmail.com,8,,2023-5-6
150,1243,Mark5064@hotmail.com,9,Прекрасный продукт.,2018-6-12
151,1538,Rita1876@hotmail.com,2,,2012-4-26
152,2022,Colleen7571@hotmail.com,3,Это ну такое.,2011-6-8
153,1359,Dustin5952@gmail.com,1,Ну неплохо.,2016-2-28
154,2800,Jennifer2241@gmail.com,7,ФУ. Не куплю от этого бренда больше ничего.,2014-10-28
155,1572,Sidney5926@gmail.com,5,Хорошо! Это хороший продукт.,2019-6-25
156,2336,Thomas9653@gmail.com,2,,2023-8-16
157,293,William5488@gmail.com,3,,2010-10-17
158,2568,Debra6819@hotmail.com,3,,2014-2-10
159,2498,Jennifer7290@gmail.com,3,,2020-4-23
160,19,Walter9041@hotmail.com,1,ФУ. Не куплю от этого бренда больше ничего.,2012-1-13
161,3266,Lillian3784@gmail.com,7,,2011-11-26
162,3318,Sean6123@hotmail.com,8,,2020-11-14
163,3627,James9383@gmail.com,0,,2018-7-27
164,1900,Michael7249@hotmail.com,5,,2011-8-3
165,1601,Jessica8149@gmail.com,0,ФУ. Не куплю от этого бренда больше ничего.,2010-4-25
166,371,Troy2512@gmail.com,9,,2015-6-4
167,552,Michael4572@gmail.com,4,,2018-1-15
168,1116,Mary7170@gmail.com,8,,2023-9-12
169,344,Kimberly6594@gmail.com,8,,2011-3-25
170,2576,William6250@gmail.com,4,Отлично! Это невероятно хороший продукт.,2012-1-19
171,1829,Priscilla8441@hotmail.com,10,,2017-5-20
172,849,Emma6953@hotmail.com,5,На самом деле хороший выбор!,2018-11-22
173,2434,Robert2542@gmail.com,3,Просто средний продукт.,2011-9-16
174,95,Janet2276@gmail.com,4,ФУ. Не куплю от этого бренда больше ничего.,2020-12-5
175,2989,Mark9437@hotmail.com,9,,2021-10-15
176,1898,Bryon5364@gmail.com,5,На самом деле хороший выбор!,2022-6-8
177,2056,Patrick9549@gmail.com,8,На самом деле прекрасный выбор!,2012-2-25
178,2598,Don4975@hotmail.com,7,Плохо! Мне не понравился.,2014-4-1
179,1901,Michael9446@gmail.com,0,Хорошо! Это хороший продукт.,2022-8-15
180,2633,Tad4028@gmail.com,10,Хороший продукт.,2016-11-23
181,2764,Peggy1852@hotmail.com,10,Средненько! Это средний по качеству продукт.,2013-6-6
182,3242,Ricky6252@gmail.com,9,Это ну такое.,2016-11-28
183,2442,Sandy7474@hotmail.com,0,Просто средний продукт.,2018-6-3
184,1563,John5173@hotmail.com,6,Это ну такое.,2015-7-9
185,2017,Sandra6996@hotmail.com,2,ФУ. Не куплю от этого бренда больше ничего.,2021-3-23
186,1641,John5266@hotmail.com,10,Плохо! Мне не понравился.,2013-10-19
187,1114,Jill9366@hotmail.com,2,Хороший продукт.,2014-4-26
188,1495,Willie8544@hotmail.com,7,Это ну такое.,2016-10-10
189,1359,Andres6597@hotmail.com,0,,2017-4-17
190,2356,Sergio7357@gmail.com,3,Это ну такое.,2018-8-23
191,1301,Charles1615@gmail.com,10,ФУ. Не куплю от этого бренда больше ничего.,2022-11-1
192,517,Ralph8563@hotmail.com,5,,2018-8-25
193,2993,Doris6765@gmail.com,4,,2013-5-20
194,3015,Courtney8741@hotmail.com,5,,2011-5-3
195,2054,Cory4199@hotmail.com,4,Отлично! Это невероятно хороший продукт.,2014-12-20
196,2132,Earl2173@hotmail.com,4,Это ну такое.,2010-1-16
