mail,shop_id,score,review_text,date_added
Amy6037@hotmail.com,4,10,Отлично! Это невероятно хороший магазин.,2017-1-5
Robert4291@hotmail.com,22,0,Хороший магазин.,2020-10-6
Jorge8355@hotmail.com,14,9,"На самом деле прекрасный магазин, мне все понраивлос!",2018-6-6
Isabel8736@gmail.com,18,8,,2018-7-25
Esther9026@gmail.com,21,10,,2014-10-4
Audrey3861@hotmail.com,10,5,Плохо! Мне не понравился магазин.,2016-10-17
Angela9893@gmail.com,21,1,Просто средний магазин.,2011-5-9
Gerald6933@hotmail.com,11,5,,2016-9-10
Jennifer2549@hotmail.com,7,4,,2010-9-19
Susan4343@gmail.com,16,4,,2018-9-13
Jefferson8134@gmail.com,8,4,,2014-1-28
Stacy1498@gmail.com,19,2,,2010-11-21
Corinne1946@hotmail.com,9,8,,2015-2-17
Darnell6923@hotmail.com,13,6,Отлично! Это невероятно хороший магазин.,2017-9-16
Theresa4124@hotmail.com,7,8,Отлично! Это невероятно хороший магазин.,2015-2-20
Gordon5867@hotmail.com,7,5,Это ну такое.,2011-10-21
Wendy1521@hotmail.com,6,0,,2014-3-3
Colleen8128@gmail.com,20,2,,2013-11-3
Charlotte8214@gmail.com,7,3,Плохо! Мне не понравился магазин.,2016-2-22
Henry9376@hotmail.com,6,4,,2019-8-4
Tracey8248@gmail.com,4,7,,2013-6-5
Maria3397@gmail.com,18,7,"На самом деле прекрасный магазин, мне все понраивлос!",2020-6-11
Christina9922@gmail.com,0,6,,2016-8-17
Raymond7471@hotmail.com,1,2,Хорошо! Это хороший магазин.,2011-7-13
Imogene6897@hotmail.com,19,6,Отлично! Это невероятно хороший магазин.,2023-3-22
Pamela6825@gmail.com,12,4,,2015-4-21
Darryl2778@hotmail.com,5,8,Средненько! Это средний по сервису магазин.,2018-10-3
Patricia3246@gmail.com,19,10,Это ну такое.,2013-3-6
Stanley8053@gmail.com,19,10,Просто средний магазин.,2018-4-12
Kathy7644@hotmail.com,22,10,,2015-11-11
Scott8497@gmail.com,12,3,Ну неплохо.,2015-12-3
Donald7299@gmail.com,0,3,Отлично! Это невероятно хороший магазин.,2021-8-20
Lynn9696@gmail.com,7,9,,2014-7-28
Charles2538@hotmail.com,9,5,,2018-7-6
Drew5894@gmail.com,14,8,,2019-8-28
Paul4253@hotmail.com,14,1,,2015-7-7
Marie1664@hotmail.com,21,9,,2011-12-1
Lucille2457@gmail.com,19,6,Ну неплохо.,2010-4-23
Kimberly8913@hotmail.com,16,4,,2012-10-2
Renee6231@gmail.com,1,3,Прекрасный магазин.,2013-5-17
Donald6381@gmail.com,15,7,,2016-11-3
Kiara1723@hotmail.com,11,6,,2021-11-20
James8434@hotmail.com,22,6,Ну неплохо.,2022-6-25
John7535@gmail.com,15,10,,2013-1-10
Howard4814@hotmail.com,12,1,,2017-5-21
Claudia6063@gmail.com,21,0,,2013-7-2
Robert3035@gmail.com,17,3,,2016-2-14
Bert4597@hotmail.com,6,4,,2021-12-25
Paula1775@hotmail.com,7,3,Плохо! Мне не понравился магазин.,2019-1-22
Martin8289@hotmail.com,2,8,Это ну такое.,2023-6-18
Gregory1397@hotmail.com,5,4,Плохо! Мне не понравился магазин.,2013-9-11
Candace8586@gmail.com,0,9,,2015-1-27
Jennie4366@hotmail.com,20,5,,2021-9-22
Edward4928@hotmail.com,14,5,,2016-4-5
Rochell2593@hotmail.com,0,3,,2019-12-3
Jacqueline8140@hotmail.com,15,4,,2022-7-7
Miriam6093@hotmail.com,10,1,,2016-2-8
Renee6051@gmail.com,17,9,,2021-1-15
Charles5326@hotmail.com,6,7,Плохо! Мне не понравился магазин.,2023-4-16
Garry9482@gmail.com,1,10,Это ну такое.,2018-2-13
Gilbert2883@hotmail.com,22,9,Прекрасный магазин.,2019-2-14
Dortha8324@hotmail.com,8,2,Плохо! Мне не понравился магазин.,2015-12-15
Filomena1079@gmail.com,9,9,,2011-5-14
Audrey8811@gmail.com,15,3,Просто средний магазин.,2019-8-7
Ilene8593@gmail.com,14,3,,2020-10-8
Daniel5692@gmail.com,3,8,,2010-11-4
Barbara7020@gmail.com,5,1,"На самом деле прекрасный магазин, мне все понраивлос!",2019-2-27
Bobby4356@hotmail.com,3,5,Хорошо! Это хороший магазин.,2022-4-28
Ashley6325@hotmail.com,5,9,,2022-11-26
Ella7175@gmail.com,8,9,,2019-2-10
Heidi7614@hotmail.com,0,6,Хороший магазин.,2016-6-20
Jeremy4848@hotmail.com,9,8,,2014-10-22
Lucio2997@gmail.com,1,3,Это ну такое.,2022-12-24
Gordon5334@gmail.com,16,1,ФУ. Не куплю в этом магазине больше ничего.,2011-7-26
James3266@hotmail.com,15,6,На самом деле хороший магазин!,2022-9-27
Rhonda9690@gmail.com,12,6,Ну неплохо.,2013-7-10
Timothy4255@hotmail.com,15,10,На самом деле хороший магазин!,2011-8-23
Zachary5046@gmail.com,1,3,,2016-4-5
Bryon3927@hotmail.com,5,1,,2017-1-12
Heike8278@gmail.com,3,2,"На самом деле прекрасный магазин, мне все понраивлос!",2018-9-11
Shirley8976@gmail.com,15,7,,2023-7-24
Steven8580@hotmail.com,22,9,,2020-9-5
Michael7968@gmail.com,17,5,Плохо! Мне не понравился магазин.,2018-4-25
Charles8149@hotmail.com,3,9,Плохо! Мне не понравился магазин.,2017-3-15
Marjorie8876@hotmail.com,4,3,,2015-7-20
Letitia7915@hotmail.com,7,5,,2017-7-7
Tracy2918@gmail.com,1,7,Хороший магазин.,2015-12-26
Karen6848@hotmail.com,19,5,,2018-3-11
Theresa8588@gmail.com,21,8,Это ну такое.,2020-10-1
Antonette1747@hotmail.com,2,2,,2015-9-15
Thomas1747@hotmail.com,18,5,Плохо! Мне не понравился магазин.,2017-2-14
Patricia9541@gmail.com,12,8,Хороший магазин.,2010-5-8
Margaret9318@hotmail.com,7,5,Хорошо! Это хороший магазин.,2015-4-10
Elton1195@gmail.com,22,6,Просто средний магазин.,2022-12-23
Wilfred2218@gmail.com,5,1,,2017-5-22
Josephine9724@gmail.com,13,8,,2010-10-17
Dionne8824@hotmail.com,3,5,Ну неплохо.,2023-12-25
Hae7168@gmail.com,16,2,,2015-5-23
Helen5981@hotmail.com,0,7,,2011-5-14
Tristan7052@gmail.com,12,3,,2010-4-19
Susan3555@hotmail.com,16,6,ФУ. Не куплю в этом магазине больше ничего.,2011-6-23
Lee6770@gmail.com,11,10,Отлично! Это невероятно хороший магазин.,2017-10-18
Michele2554@gmail.com,12,1,,2023-3-9
Tammy9371@hotmail.com,4,1,Прекрасный магазин.,2021-5-12
Edna9372@gmail.com,20,9,,2014-8-13
Norine9219@gmail.com,11,4,,2014-4-18
Faith6838@gmail.com,2,2,,2010-3-6
Eileen4474@hotmail.com,14,10,Просто средний магазин.,2012-7-16
Lawrence2632@hotmail.com,12,3,,2010-3-27
Patricia9574@hotmail.com,22,1,,2016-5-8
Sheila7797@hotmail.com,0,10,,2018-7-24
